id,prediction
630332,0
630334,0
630336,1
630338,1
630339,1
630340,1
630341,1
630342,1
630343,1
630344,1
630345,1
630346,1
630347,0
630348,1
630349,1
630350,1
630351,1
630354,1
630355,1
630356,1
630357,1
630358,1
630359,1
630360,1
630361,1
630362,1
630363,1
630364,1
630365,1
630366,1
630367,1
630368,0
630369,0
630370,0
630374,0
630375,0
630376,0
630377,0
630378,1
630380,1
630381,1
630382,0
630383,0
630385,0
630388,1
630390,1
630395,0
630396,1
630397,0
630398,0
630399,0
630400,0
630401,0
630402,1
630403,0
630404,0
630405,0
630406,0
630407,1
630409,1
630410,1
630411,1
630412,1
630413,1
630414,1
630415,0
630417,0
630418,0
630419,0
630420,0
630421,0
630422,0
630423,0
630424,0
630425,0
630426,0
630427,1
630429,1
630430,1
630431,0
630432,0
630433,0
630434,0
630435,0
630436,0
630437,0
630438,0
630439,0
630440,1
630441,1
630445,1
630446,1
630447,1
630448,1
630449,1
630450,1
630451,1
630452,1
630453,1
630466,1
630467,1
630470,1
630471,1
630472,1
630473,1
630474,1
630476,1
630477,1
630478,1
630479,1
630480,1
630481,1
630482,1
630483,1
630485,1
630486,1
630487,1
630488,1
630489,1
630490,1
630491,1
630493,0
630494,0
630495,0
630497,1
630498,1
630499,1
630500,1
630518,1
630519,1
630520,1
630521,1
630522,1
630524,1
630525,1
630526,1
630527,1
630529,1
630530,1
630531,1
630532,1
630533,1
630534,0
630535,0
630536,0
630539,1
630542,1
630543,1
630544,0
630545,1
630548,1
630549,1
630550,1
630551,1
630553,1
630554,1
630555,1
630556,1
630559,0
630560,0
630561,0
630565,1
630566,0
630567,1
630568,0
630569,0
630571,0
630572,1
630573,0
630574,0
630575,0
630576,0
630577,0
630582,0
630584,0
630585,0
630586,1
630587,0
630590,1
630591,0
630592,0
630594,0
630595,0
630596,0
630597,0
630598,0
630599,0
630600,0
630602,1
630604,1
630605,1
630606,0
630607,0
630609,0
630610,0
630611,0
630612,0
630613,0
630614,0
630616,0
630621,0
630622,0
630623,0
630624,0
630625,1
630626,0
630627,0
630628,0
630629,0
630632,0
630634,1
630635,0
630637,0
630638,0
630639,0
630640,0
630641,0
630642,0
630643,1
630645,0
630646,0
630650,0
630651,0
630652,1
630653,0
630656,0
630657,0
630658,0
630659,0
630660,0
630661,0
630666,0
630671,0
630672,0
630674,0
630675,0
630676,0
630679,0
630686,0
630687,0
630688,0
630689,0
630690,0
630691,0
630692,0
630695,0
630698,0
630699,1
630700,1
630701,0
630702,1
630703,0
630704,1
630705,1
630706,1
630707,0
630708,0
630709,0
630712,1
630713,1
630716,1
630717,1
630722,1
630723,1
630724,1
630725,1
630726,1
630727,1
630728,1
630729,1
630730,1
630733,1
630734,1
630737,1
630738,1
630739,1
630740,1
630741,1
630742,1
630743,1
630744,1
630745,1
630746,1
630747,1
630748,1
630749,1
630755,1
630756,1
630758,1
630762,1
630763,1
630766,1
630767,1
630768,1
630769,1
630770,1
630771,1
630772,1
630773,1
630774,1
630775,1
630776,1
630778,1
630779,1
630780,1
630781,1
630782,1
630784,1
630785,1
630786,1
630787,1
630788,1
630789,1
630790,1
630791,1
630792,1
630793,1
630794,1
630795,1
630796,1
630797,1
630798,1
630800,1
630801,0
630802,1
630803,0
630804,1
630805,0
630806,1
630807,1
630808,1
630809,1
630810,0
630811,0
630812,0
630813,0
630814,0
630815,0
630816,1
630817,1
630818,1
630819,1
630820,1
630821,1
630822,0
630824,1
630825,1
630826,0
630827,0
630828,0
630829,1
630831,0
630832,0
630833,0
630834,1
630835,0
630836,1
630837,1
630838,1
630840,1
630841,1
630842,1
630843,1
630844,1
630845,1
630846,1
630847,1
630848,0
630851,0
630852,0
630853,0
630854,0
630855,0
630856,0
630857,0
630858,0
630859,0
630860,0
630862,0
630863,0
630864,0
630869,1
630870,1
630871,1
630872,1
630873,1
630874,1
630875,1
630876,1
630877,1
630880,1
630882,1
630883,1
630884,1
630885,1
630886,1
630891,1
630894,1
630915,1
630916,1
630920,1
630921,1
630922,1
630923,1
630924,1
630925,1
630929,1
630934,1
630935,1
630936,1
630941,0
630942,1
630943,1
630944,1
630945,1
630947,0
630948,1
630950,0
630951,1
630953,1
630954,1
630959,1
630960,1
630961,1
630962,0
630963,0
630964,0
630967,1
630969,1
630973,0
630974,1
630975,0
